编号	大洲	战役	行省	城镇	开局派系	首府	世界X	世界Y	六边形X	六边形Y	区域KEY	行省KEY	派系KEY	英文名	分组KEY	大洲来源
194	南地	超凡帝国	苦行僧之地	萨登堡	西格玛教会	是	367.42	195.93	550	254	wh3_main_combi_region_sudenburg	wh3_main_combi_province_land_of_the_dervishes	wh3_main_emp_cult_of_sigmar	Sudenburg	cai_region_hint_area_southlands	官方
195	南地	超凡帝国	西部雨林	众神雕像	碎叶者部落		364.08	135.38	545	175	wh3_main_combi_region_statues_of_the_gods	wh3_main_combi_province_western_jungles	wh2_dlc12_grn_leaf_cutterz_tribe	Statues of the Gods	cai_region_hint_area_southlands	官方
196	南地	超凡帝国	西部雨林	塔拉夸	塔拉夸	是	363.41	156.59	544	203	wh3_main_combi_region_tlaqua	wh3_main_combi_province_western_jungles	wh2_main_lzd_tlaqua	Tlaqua	cai_region_hint_area_southlands	官方
197	南地	超凡帝国	西部雨林	死颅巨岩	碎叶者部落		332.01	154.66	497	200	wh3_main_combi_region_deaths_head_monoliths	wh3_main_combi_province_western_jungles	wh2_dlc12_grn_leaf_cutterz_tribe	Dead-Head Monoliths	cai_region_hint_area_southlands	官方
198	南地	超凡帝国	诸神雨林	索提戈之痕	恶疾氏族		474.30	125.73	710	163	wh3_main_combi_region_soteks_trail	wh3_main_combi_province_the_jungles_of_the_gods	wh3_main_skv_clan_morbidus	Sotek's Trail	cai_region_hint_area_southlands	官方
199	南地	超凡帝国	诸神雨林	索提戈之穴	恶疾氏族		449.59	82.15	673	106	wh3_main_combi_region_caverns_of_sotek	wh3_main_combi_province_the_jungles_of_the_gods	wh3_main_skv_clan_morbidus	Caverns of Sotek	cai_region_hint_area_southlands	官方
200	南地	超凡帝国	诸神雨林	黄金神道	恶疾氏族	是	479.65	92.57	718	120	wh3_main_combi_region_temple_avenue_of_gold	wh3_main_combi_province_the_jungles_of_the_gods	wh3_main_skv_clan_morbidus	Temple Avenue of Gold	cai_region_hint_area_southlands	官方
201	南地	超凡帝国	野兽国度	巨蛇海岸	莫尔德金氏族		531.09	169.32	795	219	wh3_main_combi_region_serpent_coast	wh3_main_combi_province_kingdom_of_beasts	wh2_main_skv_clan_mordkin	Serpent Coast	cai_region_hint_area_southlands	官方
202	南地	超凡帝国	野兽国度	白骨神庙	莫尔德金氏族	是	515.05	191.69	771	248	wh3_main_combi_region_temple_of_skulls	wh3_main_combi_province_kingdom_of_beasts	wh2_main_skv_clan_mordkin	Temple of Skulls	cai_region_hint_area_southlands	官方
203	南地	超凡帝国	野兽国度	诅咒丛林	莫尔德金氏族		497.02	165.85	744	215	wh3_main_combi_region_the_cursed_jungle	wh3_main_combi_province_kingdom_of_beasts	wh2_main_skv_clan_mordkin	The Cursed Jungle	cai_region_hint_area_southlands	官方
204	南地	超凡帝国	阿塔兰山脉	玛泰克	瑟安圣战军		326.67	244.91	489	317	wh3_main_combi_region_martek	wh3_main_combi_province_atalan_mountains	wh2_main_brt_thegans_crusaders	Martek	cai_region_hint_area_southlands	官方
205	南地	超凡帝国	阿塔兰山脉	秃鹫山	灰须勘探队	是	303.29	222.93	454	289	wh3_main_combi_region_vulture_mountain	wh3_main_combi_province_atalan_mountains	wh2_main_dwf_greybeards_prospectors	Vulture Mountain	cai_region_hint_area_southlands	官方
206	南地	超凡帝国	阿塔兰山脉	黑豹之眼	灰须勘探队		321.32	237.20	481	307	wh3_main_combi_region_eye_of_the_panther	wh3_main_combi_province_atalan_mountains	wh2_main_dwf_greybeards_prospectors	Eye of the Panther	cai_region_hint_area_southlands	官方
207	南地	超凡帝国	阿拉比大沙漠	阿拉比大沙漠	饿死鬼	是	325.33	206.34	487	267	wh3_main_combi_region_great_desert_of_araby	wh3_main_combi_province_great_desert_of_araby	wh3_main_ogre_the_famished	Great Desert of Araby	cai_region_hint_area_southlands	官方
208	南地	超凡帝国	阿拉比海岸	亥卡	史崔格帝国	是	341.37	256.48	511	332	wh3_main_combi_region_al_haikk	wh3_main_combi_province_coast_of_araby	wh2_main_vmp_strygos_empire	Al Haikk	cai_region_hint_area_southlands	官方
209	南地	超凡帝国	阿拉比海岸	寇法	里昂尼斯骑士战团		315.98	263.43	473	341	wh3_main_combi_region_copher	wh3_main_combi_province_coast_of_araby	wh2_dlc14_brt_chevaliers_de_lyonesse	Copher	cai_region_hint_area_southlands	官方
210	南地	超凡帝国	阿拉比海岸	费拉斯	史崔格帝国		330.68	270.37	495	350	wh3_main_combi_region_fyrus	wh3_main_combi_province_coast_of_araby	wh2_main_vmp_strygos_empire	Fyrus	cai_region_hint_area_southlands	官方
211	南地	超凡帝国	黄金隘口	提亚忒夸	莫尔德金氏族	是	494.34	144.25	740	187	wh3_main_combi_region_teotiqua	wh3_main_combi_province_the_golden_pass	wh2_main_skv_clan_mordkin	Teotiqua	cai_region_hint_area_southlands	官方
212	南地	超凡帝国	黄金隘口	黄金塔	最后守卫者		454.26	152.73	680	198	wh3_main_combi_region_the_golden_tower	wh3_main_combi_province_the_golden_pass	wh2_main_lzd_last_defenders	The Golden Tower	cai_region_hint_area_southlands	官方
213	南地	超凡帝国	黎明滩	塔尔·苏佩德尔	萨索瑞尔守望者		408.84	59.40	612	77	wh3_main_combi_region_tor_surpindar	wh3_main_combi_province_dawns_landing	wh3_main_tze_sarthoraels_watchers	Tor Surpindar	cai_region_hint_area_southlands	官方
214	南地	超凡帝国	黎明滩	黎明之光	萨索瑞尔守望者		390.13	43.97	584	57	wh3_main_combi_region_dawns_light	wh3_main_combi_province_dawns_landing	wh3_main_tze_sarthoraels_watchers	Dawn's Light	cai_region_hint_area_southlands	官方
215	南地	超凡帝国	黎明滩	黎明要塞	魔剑士议会	是	364.08	52.84	545	68	wh3_main_combi_region_fortress_of_dawn	wh3_main_combi_province_dawns_landing	wh2_main_hef_order_of_loremasters	Fortress of Dawn	cai_region_hint_area_southlands	官方
216	南方荒原	超凡帝国	冰火平原	无尽裂隙	黄铜王座		187.72	14.27	281	18	wh3_main_combi_region_the_never_ending_chasm	wh3_main_combi_province_the_ice_fire_plains	wh3_main_kho_brazen_throne	The Never-ending Chasm	cai_region_hint_area_southern_wastes	官方
217	南方荒原	超凡帝国	冰火平原	神弃火山	帕花科斯幽灵	是	156.99	17.36	235	22	wh3_main_combi_region_the_godless_crater	wh3_main_combi_province_the_ice_fire_plains	wh2_dlc17_lzd_oxyotl	The Godless Crater	cai_region_hint_area_southern_wastes	官方
218	南方荒原	超凡帝国	冰火平原	阿沙尔山	黄铜王座		199.74	28.16	299	36	wh3_main_combi_region_mount_athull	wh3_main_combi_province_the_ice_fire_plains	wh3_main_kho_brazen_throne	Mount Athull	cai_region_hint_area_southern_wastes	官方
219	南方荒原	超凡帝国	南部荒原	恶魔之门	幻焰书吏	是	309.30	44.35	463	57	wh3_main_combi_region_daemons_gate	wh3_main_combi_province_the_southern_wastes	wh3_main_tze_flaming_scribes	Daemon's Gate	cai_region_hint_area_southern_wastes	官方
220	南方荒原	超凡帝国	南部荒原	格罗崔莱的闪耀灯塔	幻焰书吏		275.23	39.34	412	51	wh3_main_combi_region_grotrilexs_glare_lighthouse	wh3_main_combi_province_the_southern_wastes	wh3_main_tze_flaming_scribes	Grotrilex's Glare Lighthouse	cai_region_hint_area_southern_wastes	官方
221	南方荒原	超凡帝国	南部荒原	辛豪尔纪念柱	幻焰书吏		246.50	28.93	369	37	wh3_main_combi_region_the_sinhall_monolith	wh3_main_combi_province_the_southern_wastes	wh3_main_tze_flaming_scribes	The Sinhall Monolith	cai_region_hint_area_southern_wastes	官方
222	南方荒原	超凡帝国	恶魔岭	奥卡姆无尽迷宫	极乐之愉	是	473.64	21.98	709	28	wh3_main_combi_region_okkams_forever_maze	wh3_main_combi_province_the_daemonium_hills	wh3_main_sla_rapturous_excess	Okkam's Forever Maze	cai_region_hint_area_southern_wastes	官方
223	南方荒原	超凡帝国	恶魔岭	显象祭坛	极乐之愉		551.80	23.14	826	30	wh3_main_combi_region_altar_of_facades	wh3_main_combi_province_the_daemonium_hills	wh3_main_sla_rapturous_excess	Altar of Facades	cai_region_hint_area_southern_wastes	官方
224	南方荒原	超凡帝国	恶魔岭	欢愉熔炉	极乐之愉		515.72	12.34	772	16	wh3_main_combi_region_crucible_of_delights	wh3_main_combi_province_the_daemonium_hills	wh3_main_sla_rapturous_excess	Crucible of Delights	cai_region_hint_area_southern_wastes	官方
225	南方荒原	超凡帝国	恶魔岭	辉煌城堡	极乐之愉		503.70	37.03	754	48	wh3_main_combi_region_castle_of_splendour	wh3_main_combi_province_the_daemonium_hills	wh3_main_sla_rapturous_excess	Castle of Splendour	cai_region_hint_area_southern_wastes	官方
226	南方荒原	超凡帝国	无底冰川	失落宫	肿腺疫群		380.78	14.66	570	19	wh3_main_combi_region_the_lost_palace	wh3_main_combi_province_the_abyssal_glacier	wh3_main_nur_bubonic_swarm	The Lost Palace	cai_region_hint_area_southern_wastes	官方
227	南方荒原	超凡帝国	无底冰川	沃卢特拉	肿腺疫群		420.86	18.51	630	24	wh3_main_combi_region_volulltrax	wh3_main_combi_province_the_abyssal_glacier	wh3_main_nur_bubonic_swarm	Volulltrax	cai_region_hint_area_southern_wastes	官方
228	南方荒原	超凡帝国	无底冰川	织命者裂隙	奸奇传谕使	是	340.70	20.83	510	27	wh3_main_combi_region_fateweavers_crevasse	wh3_main_combi_province_the_abyssal_glacier	wh3_main_tze_oracles_of_tzeentch	Fateweaver's Crevasse	cai_region_hint_area_southern_wastes	官方
229	南方荒原	超凡帝国	无底冰川	雕颅人之家	肿腺疫群		443.57	9.26	664	12	wh3_main_combi_region_the_skull_carvers_abode	wh3_main_combi_province_the_abyssal_glacier	wh3_main_nur_bubonic_swarm	The Skull-Carver's Abode	cai_region_hint_area_southern_wastes	官方
230	帝国（旧世界）	超凡帝国	中部山脉	黄铜要塞	猖殖聚群	是	395.48	568.51	592	737	wh3_main_combi_region_brass_keep	wh3_dlc20_combi_province_middle_mountains	wh3_dlc20_chs_festus	Brass Keep	cai_region_hint_area_empire	官方
231	帝国（旧世界）	超凡帝国	冬齿隘口	索尔要塞	暗毒	是	388.80	418.09	582	542	wh3_main_combi_region_fort_soll	wh3_main_combi_province_winters_teeth_pass	wh_main_grn_black_venom	Fort Soll	cai_region_hint_area_empire	官方
232	帝国（旧世界）	超凡帝国	劳伦洛伦森林	劳伦洛伦森林	劳伦洛伦	是	352.05	563.49	527	730	wh3_main_combi_region_laurelorn_forest	wh3_main_combi_province_the_witchs_wood	wh3_main_wef_laurelorn	Laurelorn Forest	cai_region_hint_area_empire	官方
233	帝国（旧世界）	超凡帝国	北希尔瓦尼亚	塔兰霍夫城堡	塔兰霍夫	是	458.27	484.43	686	628	wh3_main_combi_region_castle_templehof	wh3_main_combi_province_northern_sylvania	wh_main_vmp_rival_sylvanian_vamps	Castle Templehof	cai_region_hint_area_empire	官方
234	帝国（旧世界）	超凡帝国	北希尔瓦尼亚	奥博斯特恩要塞	塔兰霍夫		446.25	479.03	668	621	wh3_main_combi_region_fort_oberstyre	wh3_main_combi_province_northern_sylvania	wh_main_vmp_rival_sylvanian_vamps	Fort Oberstyre	cai_region_hint_area_empire	官方
235	帝国（旧世界）	超凡帝国	北希尔瓦尼亚	瓦尔登霍夫	塔兰霍夫		480.98	499.85	720	648	wh3_main_combi_region_waldenhof	wh3_main_combi_province_northern_sylvania	wh_main_vmp_rival_sylvanian_vamps	Waldenhof	cai_region_hint_area_empire	官方
236	帝国（旧世界）	超凡帝国	南希尔瓦尼亚	埃申	塔兰霍夫		476.98	489.83	714	635	wh3_main_combi_region_eschen	wh3_main_combi_province_southern_sylvania	wh_main_vmp_rival_sylvanian_vamps	Eschen	cai_region_hint_area_empire	官方
237	帝国（旧世界）	超凡帝国	南希尔瓦尼亚	施瓦茨港	希尔瓦尼亚		450.25	457.43	674	593	wh3_main_combi_region_swartzhafen	wh3_main_combi_province_southern_sylvania	wh_main_vmp_schwartzhafen	Swartzhafen	cai_region_hint_area_empire	官方
238	帝国（旧世界）	超凡帝国	南希尔瓦尼亚	邓肯霍夫城堡	希尔瓦尼亚	是	478.31	472.08	716	612	wh3_main_combi_region_castle_drakenhof	wh3_main_combi_province_southern_sylvania	wh_main_vmp_schwartzhafen	Castle Drakenhof	cai_region_hint_area_empire	官方
239	帝国（旧世界）	超凡帝国	吉索莱奥隘口	博戈波要塞	玛丽恩堡	是	299.95	490.98	449	636	wh3_main_combi_region_fort_bergbres	wh3_main_combi_province_gisoreux_gap	wh_main_emp_marienburg	Fort Bergbres	cai_region_hint_area_empire	官方
240	帝国（旧世界）	超凡帝国	塔拉贝克领	努根海姆	塔拉贝克领		423.53	504.48	634	654	wh3_main_combi_region_krugenheim	wh3_main_combi_province_talabecland	wh_main_emp_talabecland	Krugenheim	cai_region_hint_area_empire	官方
241	帝国（旧世界）	超凡帝国	塔拉贝克领	卡佩堡	塔拉贝克领		436.23	546.52	653	708	wh3_main_combi_region_kappelburg	wh3_main_combi_province_talabecland	wh_main_emp_talabecland	Kappelburg	cai_region_hint_area_empire	官方
242	帝国（旧世界）	超凡帝国	塔拉贝克领	塔拉贝海姆	塔拉贝克领	是	403.49	532.25	604	690	wh3_main_combi_region_talabheim	wh3_main_combi_province_talabecland	wh_main_emp_talabecland	Talabheim	cai_region_hint_area_empire	官方
243	帝国（旧世界）	超凡帝国	塔拉贝克领	科佩巴德	塔拉贝克领		377.44	491.75	565	637	wh3_main_combi_region_kemperbad	wh3_main_combi_province_talabecland	wh_main_emp_talabecland	Kemperbad	cai_region_hint_area_empire	官方
244	帝国（旧世界）	超凡帝国	奥斯特领	冯·劳肯城堡	奥斯特领		431.55	580.08	646	752	wh3_main_combi_region_castle_von_rauken	wh3_main_combi_province_ostland	wh_main_emp_ostland	Castle von Rauken	cai_region_hint_area_empire	官方
245	帝国（旧世界）	超凡帝国	奥斯特领	沃尔芬堡	奥斯特领	是	416.85	560.79	624	727	wh3_main_combi_region_wolfenburg	wh3_main_combi_province_ostland	wh_main_emp_ostland	Wolfenburg	cai_region_hint_area_empire	官方
246	帝国（旧世界）	超凡帝国	奥斯特领	诺登	诺德领		396.81	593.96	594	770	wh3_main_combi_region_norden	wh3_main_combi_province_ostland	wh_main_emp_nordland	Norden	cai_region_hint_area_empire	官方
247	帝国（旧世界）	超凡帝国	奥斯特马克	埃森	奥斯特马克		462.95	511.04	693	662	wh3_main_combi_region_essen	wh3_main_combi_province_ostermark	wh_main_emp_ostermark	Essen	cai_region_hint_area_empire	官方
248	帝国（旧世界）	超凡帝国	奥斯特马克	纳根霍夫	奥斯特马克		478.98	526.47	717	682	wh3_main_combi_region_nagenhof	wh3_main_combi_province_ostermark	wh_main_emp_ostermark	Nagenhof	cai_region_hint_area_empire	官方
249	帝国（旧世界）	超凡帝国	奥斯特马克	莫德海姆	怪爬氏族		450.92	510.27	675	661	wh3_main_combi_region_mordheim	wh3_main_combi_province_ostermark	wh2_dlc15_skv_clan_kreepus	Mordheim	cai_region_hint_area_empire	官方
250	帝国（旧世界）	超凡帝国	奥斯特马克	贝克港	奥斯特马克	是	452.26	552.69	677	716	wh3_main_combi_region_bechafen	wh3_main_combi_province_ostermark	wh_main_emp_ostermark	Bechafen	cai_region_hint_area_empire	官方
251	帝国（旧世界）	超凡帝国	威森领	努恩	威森领与努恩	是	369.42	468.61	553	607	wh3_main_combi_region_nuln	wh3_main_combi_province_wissenland	wh_main_emp_wissenland	Nuln	cai_region_hint_area_empire	官方
252	帝国（旧世界）	超凡帝国	威森领	威森堡	午夜宫廷		385.46	452.41	577	586	wh3_main_combi_region_wissenburg	wh3_main_combi_province_wissenland	wh3_dlc25_vmp_the_court_of_night	Wissenburg	cai_region_hint_area_empire	官方
253	帝国（旧世界）	超凡帝国	威森领	道腾巴赫	午夜宫廷		364.75	449.71	546	583	wh3_main_combi_region_dotternbach	wh3_main_combi_province_wissenland	wh3_dlc25_vmp_the_court_of_night	Dotternbach	cai_region_hint_area_empire	官方
254	帝国（旧世界）	超凡帝国	斧痕隘口	赫姆加特	瑞克领	是	325.33	465.53	487	603	wh3_main_combi_region_helmgart	wh3_main_combi_province_axe_bite_pass	wh_main_emp_empire	Helmgart	cai_region_hint_area_empire	官方
255	帝国（旧世界）	超凡帝国	斯提尔领	乌特巴德	斯提尔领	是	405.50	489.44	607	634	wh3_main_combi_region_wurtbad	wh3_main_combi_province_stirland	wh_main_emp_stirland	Wurtbad	cai_region_hint_area_empire	官方
256	帝国（旧世界）	超凡帝国	斯提尔领	尼德灵	斯提尔领		436.23	494.07	653	640	wh3_main_combi_region_niedling	wh3_main_combi_province_stirland	wh_main_emp_stirland	Niedling	cai_region_hint_area_empire	官方
257	帝国（旧世界）	超凡帝国	斯提尔领	弗伦斯堡	斯提尔领		392.14	477.10	587	618	wh3_main_combi_region_flensburg	wh3_main_combi_province_stirland	wh_main_emp_stirland	Flensburg	cai_region_hint_area_empire	官方
258	帝国（旧世界）	超凡帝国	狮鹫林	狮鹫林	灾厄战林	是	446.91	526.47	669	682	wh3_main_combi_region_gryphon_wood	wh3_main_combi_province_gryphon_wood	wh2_dlc16_wef_drycha	Gryphon Wood	cai_region_hint_area_empire	官方
259	帝国（旧世界）	超凡帝国	瑞克领	乌博瑞克	帝国分离势力		337.36	474.01	505	614	wh3_main_combi_region_ubersreik	wh3_main_combi_province_reikland	wh_main_emp_empire_separatists	Ubersreik	cai_region_hint_area_empire	官方
260	帝国（旧世界）	超凡帝国	瑞克领	格伦堡	帝国分离势力		366.08	480.57	548	623	wh3_main_combi_region_grunburg	wh3_main_combi_province_reikland	wh_main_emp_empire_separatists	Grunburg	cai_region_hint_area_empire	官方
261	帝国（旧世界）	超凡帝国	瑞克领	艾尔哈特	帝国分离势力		321.99	492.91	482	639	wh3_main_combi_region_eilhart	wh3_main_combi_province_reikland	wh_main_emp_empire_separatists	Eilhart	cai_region_hint_area_empire	官方
262	帝国（旧世界）	超凡帝国	瑞克领	阿尔道夫	瑞克领	是	352.05	500.24	527	648	wh3_main_combi_region_altdorf	wh3_main_combi_province_reikland	wh_main_emp_empire	Altdorf	cai_region_hint_area_empire	官方
263	帝国（旧世界）	超凡帝国	穆特领	穆特	斯提尔领	是	432.89	463.60	648	601	wh3_main_combi_region_the_moot	wh3_main_combi_province_mootland	wh_main_emp_stirland	The Moot	cai_region_hint_area_empire	官方
264	帝国（旧世界）	超凡帝国	米登领	卡隆堡	米登领		340.03	506.41	509	656	wh3_main_combi_region_carroburg	wh3_main_combi_province_middenland	wh_main_emp_middenland	Carroburg	cai_region_hint_area_empire	官方
265	帝国（旧世界）	超凡帝国	米登领	米登斯坦格	米登领		379.44	532.25	568	690	wh3_main_combi_region_middenstag	wh3_main_combi_province_middenland	wh_main_emp_middenland	Middenstag	cai_region_hint_area_empire	官方
266	帝国（旧世界）	超凡帝国	米登领	米登海姆	米登领	是	370.09	544.59	554	706	wh3_main_combi_region_middenheim	wh3_main_combi_province_middenland	wh_main_emp_middenland	Middenheim	cai_region_hint_area_empire	官方
267	帝国（旧世界）	超凡帝国	米登领	维斯蒙德	米登领		353.39	525.69	529	681	wh3_main_combi_region_weismund	wh3_main_combi_province_middenland	wh_main_emp_middenland	Weismund	cai_region_hint_area_empire	官方
268	帝国（旧世界）	超凡帝国	索尔领	斯坦加特	暗毒		414.18	435.83	620	565	wh3_main_combi_region_steingart	wh3_main_combi_province_solland	wh_main_grn_black_venom	Steingart	cai_region_hint_area_empire	官方
269	帝国（旧世界）	超凡帝国	索尔领	法伊道夫	午夜宫廷	是	392.80	440.46	588	571	wh3_main_combi_region_pfeildorf	wh3_main_combi_province_solland	wh3_dlc25_vmp_the_court_of_night	Pfeildorf	cai_region_hint_area_empire	官方
270	帝国（旧世界）	超凡帝国	艾维领	艾维海姆	艾维领	是	410.84	462.44	615	599	wh3_main_combi_region_averheim	wh3_main_combi_province_averland	wh_main_emp_averland	Averheim	cai_region_hint_area_empire	官方
271	帝国（旧世界）	超凡帝国	艾维领	边陲城	艾维领		432.89	442.00	648	573	wh3_main_combi_region_grenzstadt	wh3_main_combi_province_averland	wh_main_emp_averland	Grenzstadt	cai_region_hint_area_empire	官方
272	帝国（旧世界）	超凡帝国	诺德领	塞森蒙德	诺德领	是	372.09	584.32	557	757	wh3_main_combi_region_salzenmund	wh3_main_combi_province_nordland	wh_main_emp_nordland	Salzenmund	cai_region_hint_area_empire	官方
273	帝国（旧世界）	超凡帝国	诺德领	迪特斯港	诺德领		351.39	587.79	526	762	wh3_main_combi_region_dietershafen	wh3_main_combi_province_nordland	wh_main_emp_nordland	Dietershafen	cai_region_hint_area_empire	官方
274	帝国（旧世界）	超凡帝国	迷雾丘陵	破坏者据点	黑暗深渊部落		316.65	576.99	474	748	wh3_main_combi_region_wreckers_point	wh3_main_combi_province_the_misty_hills	wh_dlc03_grn_black_pit	Wrecker's Point	cai_region_hint_area_empire	官方
275	帝国（旧世界）	超凡帝国	迷雾丘陵	黑暗深渊	黑暗深渊部落	是	340.70	543.82	510	705	wh3_main_combi_region_the_black_pit	wh3_main_combi_province_the_misty_hills	wh_dlc03_grn_black_pit	The Black Pit	cai_region_hint_area_empire	官方
276	帝国（旧世界）	超凡帝国	霍克领	克鲁登瓦尔德	霍克领		383.45	552.31	574	716	wh3_dlc20_combi_region_krudenwald	wh3_main_combi_province_hochland	wh_main_emp_hochland	Krudenwald	cai_region_hint_area_empire	官方
277	帝国（旧世界）	超凡帝国	霍克领	赫吉格	霍克领	是	401.49	541.89	601	702	wh3_main_combi_region_hergig	wh3_main_combi_province_hochland	wh_main_emp_hochland	Hergig	cai_region_hint_area_empire	官方
278	帝国（旧世界）	超凡帝国	韦斯特领	玛丽恩堡	玛丽恩堡	是	301.95	506.80	452	657	wh3_main_combi_region_marienburg	wh3_main_combi_province_the_wasteland	wh_main_emp_marienburg	Marienburg	cai_region_hint_area_empire	官方
279	帝国（旧世界）	超凡帝国	韦斯特领	阿尔诺	玛丽恩堡		306.63	558.86	459	724	wh3_main_combi_region_aarnau	wh3_main_combi_province_the_wasteland	wh_main_emp_marienburg	Aarnau	cai_region_hint_area_empire	官方
280	帝国（旧世界）	超凡帝国	韦斯特领	霍瑟尔	玛丽恩堡		307.30	525.31	460	681	wh3_main_combi_region_gorssel	wh3_main_combi_province_the_wasteland	wh_main_emp_marienburg	Gorssel	cai_region_hint_area_empire	官方
281	巴托尼亚	超凡帝国	亚登森林	吉索莱奥	阿图瓦		292.60	483.65	438	627	wh3_main_combi_region_gisoreux	wh3_main_combi_province_forest_of_arden	wh_main_brt_artois	Gisoreux	cai_region_hint_area_bretonnia	官方
282	巴托尼亚	超凡帝国	亚登森林	阿图瓦城堡	阿图瓦	是	273.89	492.91	410	639	wh3_main_combi_region_castle_artois	wh3_main_combi_province_forest_of_arden	wh_main_brt_artois	Castle Artois	cai_region_hint_area_bretonnia	官方
283	巴托尼亚	超凡帝国	北部灰色山脉	卡拉克·微风堡	卡拉克·微风堡		317.98	469.00	476	608	wh3_main_combi_region_karak_ziflin	wh3_main_combi_province_northern_grey_mountains	wh_main_dwf_karak_ziflin	Karak Ziflin	cai_region_hint_area_bretonnia	官方
284	巴托尼亚	超凡帝国	北部灰色山脉	金特矿山	碎颅者		289.93	501.40	434	650	wh3_main_combi_region_grung_zint	wh3_main_combi_province_northern_grey_mountains	wh_main_grn_skullsmasherz	Grung Zint	cai_region_hint_area_bretonnia	官方
285	巴托尼亚	超凡帝国	北部灰色山脉	黑石据点	古坟军团	是	305.29	480.95	457	623	wh3_main_combi_region_blackstone_post	wh3_main_combi_province_northern_grey_mountains	wh2_dlc11_vmp_the_barrow_legion	Blackstone Post	cai_region_hint_area_bretonnia	官方
286	巴托尼亚	超凡帝国	卡尔卡松	卡尔卡松城堡	卡尔卡松	是	310.64	388.39	465	503	wh3_main_combi_region_castle_carcassonne	wh3_main_combi_province_carcassonne	wh_main_brt_carcassonne	Castle Carcassonne	cai_region_hint_area_bretonnia	官方
287	巴托尼亚	超凡帝国	卡尔卡松	布理奥涅	红云		280.57	406.52	420	527	wh3_main_combi_region_brionne	wh3_main_combi_province_carcassonne	wh2_dlc14_grn_red_cloud	Brionne	cai_region_hint_area_bretonnia	官方
288	巴托尼亚	超凡帝国	哥隆尼边地	勒·安古朗	穆席隆		256.52	509.88	384	661	wh3_main_combi_region_languille	wh3_main_combi_province_marches_of_couronne	wh_main_vmp_mousillon	L'Anguille	cai_region_hint_area_bretonnia	官方
289	巴托尼亚	超凡帝国	哥隆尼边地	哥隆尼	哥隆尼	是	273.89	520.68	410	675	wh3_main_combi_region_couronne	wh3_main_combi_province_marches_of_couronne	wh_main_brt_bretonnia	Couronne	cai_region_hint_area_bretonnia	官方
290	巴托尼亚	超凡帝国	夏珑森林	奎那利斯	帕拉翁		321.32	416.93	481	540	wh3_main_combi_region_quenelles	wh3_main_combi_province_forest_of_chalons	wh_main_brt_parravon	Quenelles	cai_region_hint_area_bretonnia	官方
291	巴托尼亚	超凡帝国	夏珑森林	帕拉翁	帕拉翁	是	322.66	443.93	483	575	wh3_main_combi_region_parravon	wh3_main_combi_province_forest_of_chalons	wh_main_brt_parravon	Parravon	cai_region_hint_area_bretonnia	官方
292	巴托尼亚	超凡帝国	巴斯托涅	巴斯托涅城堡	巴斯托涅	是	285.92	464.37	428	602	wh3_main_combi_region_castle_bastonne	wh3_main_combi_province_bastonne	wh_main_brt_bastonne	Castle Bastonne	cai_region_hint_area_bretonnia	官方
293	巴托尼亚	超凡帝国	巴斯托涅	蒙特福特	巴斯托涅		316.65	457.43	474	593	wh3_main_combi_region_montfort	wh3_main_combi_province_bastonne	wh_main_brt_bastonne	Montfort	cai_region_hint_area_bretonnia	官方
294	巴托尼亚	超凡帝国	布理恩涅河	波尔德罗	阿奎坦	是	262.54	447.79	393	580	wh3_main_combi_region_bordeleaux	wh3_main_combi_province_river_brienne	wh3_main_brt_aquitaine	Bordeleaux	cai_region_hint_area_bretonnia	官方
295	巴托尼亚	超凡帝国	布理恩涅河	阿奎坦	阿奎坦		281.24	439.30	421	569	wh3_main_combi_region_aquitaine	wh3_main_combi_province_river_brienne	wh3_main_brt_aquitaine	Aquitaine	cai_region_hint_area_bretonnia	官方
296	巴托尼亚	超凡帝国	柯维罗荒冢	奥卡山	碎斧	是	305.96	437.37	458	567	wh3_main_combi_region_massif_orcal	wh3_main_combi_province_barrows_of_cuileux	wh2_dlc15_grn_broken_axe	Massif Orcal	cai_region_hint_area_bretonnia	官方
297	巴托尼亚	超凡帝国	里昂尼斯海岸	穆席隆	穆席隆		255.19	466.68	382	605	wh3_main_combi_region_mousillon	wh3_main_combi_province_coast_of_lyonesse	wh_main_vmp_mousillon	Mousillon	cai_region_hint_area_bretonnia	官方
298	巴托尼亚	超凡帝国	里昂尼斯海岸	里昂尼斯	里昂尼斯	是	241.83	486.74	362	631	wh3_main_combi_region_lyonesse	wh3_main_combi_province_coast_of_lyonesse	wh_main_brt_lyonesse	Lyonesse	cai_region_hint_area_bretonnia	官方
299	诺斯卡	超凡帝国	冰牙山脉	冰湖湾	斯凯林		301.95	585.48	452	759	wh3_main_combi_region_pack_ice_bay	wh3_main_combi_province_ice_tooth_mountains	wh_main_nor_skaeling	Pack Ice Bay	cai_region_hint_area_norsca	官方
300	诺斯卡	超凡帝国	冰牙山脉	腥红收割祭坛	斯凯林	是	336.02	604.38	503	783	wh3_main_combi_region_altar_of_the_crimson_harvest	wh3_main_combi_province_ice_tooth_mountains	wh_main_nor_skaeling	Altar of the Crimson Harvest	cai_region_hint_area_norsca	官方
